account_code,declared_provider,effective_provider,auth_method,credential_mode,billing_mode,credential_present,expires_at,last_refresh,oauth_rate_limit_tier,created_at,updated_at
ACC-2K2OJBSXIQE2SYJVU5WZABT4NI,codex,codex,oauth,,subscription,true,0,0,,1785406806,1785406806
ACC-UTFYZURQ5KTWCWOESJ66KGJ2ZQ,codex,codex,oauth,,subscription,true,0,0,,1785406806,1785406806
ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,codex,codex,oauth,,subscription,true,0,0,,1785406806,1785406806
ACC-AHBCFSVVRS6LD7SODZNCOJQAZU,codex,codex,oauth,,subscription,true,0,0,,1785406806,1785406806
ACC-NK6ZSGVDHFYJ7XPOALJSGRBZ7I,claude,claude,oauth,,subscription,true,1785436269,1785407469,,1785407469,1785407469
ACC-JX6NDCRVSN4MFKTOPLQXZMNOUI,codex,codex,oauth,,subscription,true,0,0,,1785406806,1785406806
ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,codex,oauth,,subscription,true,0,0,,1785406806,1785406806
ACC-YIAYS4VQ3AYXJWWOVIAVKNTLIM,antigravity,antigravity,oauth,,subscription,true,1785432410,1785428811,,1785428811,1785428811
ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,codex,oauth,,subscription,true,0,0,,1785406806,1785406806
ACC-HH3MS4CH2YTRUI2AD4F5XY6VTU,codex,codex,oauth,,subscription,true,0,0,,1785406806,1785406806
ACC-OWBQQZUPFT7GVHF6NPYMAYFFCU,codex,codex,oauth,,subscription,true,0,0,,1785406806,1785406806
ACC-V5HUEWZFSBH45DWE5GJJ5SM4LA,codex,codex,oauth,,subscription,true,0,0,,1785406806,1785406806
ACC-F7V2KG5F535O755MND4UDOTTBM,codex,codex,oauth,,subscription,true,0,0,,1785406806,1785406806
