account_code,provider,model,limiter_type,source,used_percent,limit_tokens,remaining_tokens,limit_requests,remaining_requests,reset_at,status,raw_json,updated_at
ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,codex,,5h_polled,codex_stream,19,'-1,'-1,'-1,'-1,1785919914,,,1785447431
ACC-2K2OJBSXIQE2SYJVU5WZABT4NI,codex,,5h_polled,5h_polled,100,'-1,'-1,0,0,1785903011,rejected,,1785447364
ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,codex,,codex_reset_credits,usage_fallback,'-1,'-1,'-1,'-1,0,0,ok,"{""available_count"":0,""body_snippet"":""{\n  \""user_id\"": \""user-H1Z2tFnG5OdaYc1MDBzf1Ak4\"",\n  \""account_id\"": \""user-H1Z2tFnG5OdaYc1MDBzf1Ak4\"",\n  \""email\"": \""ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM\"",\n  \""plan_type\"": \""pro\"",\n  \""rate_limit\"": {\n    \""allowed\"": true,\n    \""limit_reached\"": false,\n    \""primary_window\"": {\n      \""used_percent\"": 19,\n      \""limit_window_seconds\"": 604800,\n      \""reset_after_seconds\"": 472544,\n      \""reset_at\"": 1785919907\n    },\n    \""secondary_window\"": null\n  },\n  \""code_review_rate_limit\"": null,\n  \""additional_rate_limits\"": [\n    {\n      \""limit_name\"": \""GPT-5.3-Codex-Spark\"",\n      \""metered_feature\"": \""codex_bengalfox\"",\n      \""rate_limit\"": {\n        \""allowed\"": true,\n        \""limit_reached\"": false,\n        \""primary_window\"": {\n          \""used_percent\"": 0,\n          \""limit_window_seconds\"": 604800,\n          \""reset_after_seconds\"": 604800,\n          \""reset_at\"": 1786052164\n        },\n        \""secondary_window\"": null\n      }\n    }\n  ],\n  \""credits\"": {\n    \""has_credits\"": false,\n    \""unlimited\"": false,\n    \""overage_limit_reached\"": false,\n    \""b"",""known"":true,""source"":""usage_fallback"",""status"":""ok""}",1785447364
ACC-2K2OJBSXIQE2SYJVU5WZABT4NI,codex,,codex_reset_credits,usage_fallback,'-1,'-1,'-1,'-1,0,0,ok,"{""available_count"":0,""body_snippet"":""{\n  \""user_id\"": \""user-4qOaTXpvPD3BM2jMpC5UMCec\"",\n  \""account_id\"": \""user-4qOaTXpvPD3BM2jMpC5UMCec\"",\n  \""email\"": \""EMAIL-OJVBO4MQYSPZNYBO243IWXZBIQ\"",\n  \""plan_type\"": \""plus\"",\n  \""rate_limit\"": {\n    \""allowed\"": false,\n    \""limit_reached\"": true,\n    \""primary_window\"": {\n      \""used_percent\"": 100,\n      \""limit_window_seconds\"": 604800,\n      \""reset_after_seconds\"": 455647,\n      \""reset_at\"": 1785903010\n    },\n    \""secondary_window\"": null\n  },\n  \""code_review_rate_limit\"": null,\n  \""additional_rate_limits\"": null,\n  \""credits\"": {\n    \""has_credits\"": false,\n    \""unlimited\"": false,\n    \""overage_limit_reached\"": false,\n    \""balance\"": \""0\"",\n    \""approx_local_messages\"": [\n      0,\n      0\n    ],\n    \""approx_cloud_messages\"": [\n      0,\n      0\n    ]\n  },\n  \""spend_control\"": {\n    \""reached\"": false,\n    \""individual_limit\"": null\n  },\n  \""rate_limit_reached_type\"": {\n    \""type\"": \""rate_limit_reached\"",\n    \""details\"": \""default\""\n  },\n  \""rate_limit_upsell\"": {\n    \""banner_type\"": \""plus_rate_limit_reached\"",\n    \""title\"": \""You're out of C"",""known"":true,""source"":""usage_fallback"",""status"":""ok""}",1785447364
ACC-AHBCFSVVRS6LD7SODZNCOJQAZU,codex,,5h_polled,5h_polled,100,'-1,'-1,0,0,1785903008,rejected,,1785447363
ACC-UTFYZURQ5KTWCWOESJ66KGJ2ZQ,codex,,5h_polled,5h_polled,100,'-1,'-1,0,0,1785903048,rejected,,1785447363
ACC-F7V2KG5F535O755MND4UDOTTBM,codex,,5h_polled,5h_polled,100,'-1,'-1,0,0,1785903071,rejected,,1785447363
ACC-JX6NDCRVSN4MFKTOPLQXZMNOUI,codex,,5h_polled,5h_polled,100,'-1,'-1,0,0,1785902989,rejected,,1785447363
ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,,5h_polled,5h_polled,100,'-1,'-1,0,0,1785920020,rejected,,1785447363
ACC-HH3MS4CH2YTRUI2AD4F5XY6VTU,codex,,5h_polled,5h_polled,100,'-1,'-1,0,0,1785903069,rejected,,1785447363
ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,,5h_polled,5h_polled,100,'-1,'-1,0,0,1785920771,rejected,,1785447363
ACC-OWBQQZUPFT7GVHF6NPYMAYFFCU,codex,,5h_polled,5h_polled,100,'-1,'-1,0,0,1785922269,rejected,,1785447363
ACC-V5HUEWZFSBH45DWE5GJJ5SM4LA,codex,,5h_polled,5h_polled,100,'-1,'-1,0,0,1785902990,rejected,,1785447363
ACC-HH3MS4CH2YTRUI2AD4F5XY6VTU,codex,,codex_reset_credits,usage_fallback,'-1,'-1,'-1,'-1,0,0,ok,"{""available_count"":0,""body_snippet"":""{\n  \""user_id\"": \""user-PoNUuPf3RKQ7tk0Y8936PK0j\"",\n  \""account_id\"": \""user-PoNUuPf3RKQ7tk0Y8936PK0j\"",\n  \""email\"": \""EMAIL-2GI4I5UWOXUAMKKL5DDOPV4U7E\"",\n  \""plan_type\"": \""plus\"",\n  \""rate_limit\"": {\n    \""allowed\"": false,\n    \""limit_reached\"": true,\n    \""primary_window\"": {\n      \""used_percent\"": 100,\n      \""limit_window_seconds\"": 604800,\n      \""reset_after_seconds\"": 455706,\n      \""reset_at\"": 1785903068\n    },\n    \""secondary_window\"": null\n  },\n  \""code_review_rate_limit\"": null,\n  \""additional_rate_limits\"": null,\n  \""credits\"": {\n    \""has_credits\"": false,\n    \""unlimited\"": false,\n    \""overage_limit_reached\"": false,\n    \""balance\"": \""0\"",\n    \""approx_local_messages\"": [\n      0,\n      0\n    ],\n    \""approx_cloud_messages\"": [\n      0,\n      0\n    ]\n  },\n  \""spend_control\"": {\n    \""reached\"": false,\n    \""individual_limit\"": null\n  },\n  \""rate_limit_reached_type\"": {\n    \""type\"": \""rate_limit_reached\"",\n    \""details\"": \""default\""\n  },\n  \""rate_limit_upsell\"": {\n    \""banner_type\"": \""plus_rate_limit_reached\"",\n    \""title\"": \""You're out of"",""known"":true,""source"":""usage_fallback"",""status"":""ok""}",1785447363
