id,created_at,account_code,action,state,reason,detail
10013,1785430624,,codex_context_migrated,recovered,websocket_https_fallback,stateless_http_replay
10014,1785430624,,model_fallback_required,rejected,model_fallback_required,"provider=claude,kiro,antigravity TOKEN-MLJDOOPEWYMO3M4RVXUVC3MKWE fallback_model=opus requested_context_window=0 fallback_context_window=200000 manual_switch_required=true"
10015,1785430624,,model_capability_rejected,rejected,model_fallback_required,"provider=claude,kiro,antigravity TOKEN-MLJDOOPEWYMO3M4RVXUVC3MKWE"
10016,1785430625,,codex_session_binding_created,active,terminal_success,metadata_only_no_raw_identifiers
10017,1785430627,,model_fallback_required,rejected,model_fallback_required,"provider=claude,kiro,antigravity TOKEN-MLJDOOPEWYMO3M4RVXUVC3MKWE fallback_model=opus requested_context_window=0 fallback_context_window=200000 manual_switch_required=true"
10018,1785430627,,model_capability_rejected,rejected,model_fallback_required,"provider=claude,kiro,antigravity TOKEN-MLJDOOPEWYMO3M4RVXUVC3MKWE"
10019,1785430628,,goal_alias_bound,awaiting_tool_result,codex,TOKEN-Q3LLSXZHGWS4IEC4J47S74TFWA aliases=2
10020,1785430628,,goal_checkpoint_committed,awaiting_tool_result,codex,TOKEN-Q3LLSXZHGWS4IEC4J47S74TFWA TOKEN-XTLX65TJLC6X5SQMBPD57M54HY segment=35 bytes=2169898
10021,1785430628,,codex_session_binding_created,active,terminal_success,metadata_only_no_raw_identifiers
10022,1785430628,,goal_alias_bound,awaiting_tool_result,codex,TOKEN-2F2J4JMNHIU7GLKZS6OWB2GU6U aliases=3
10023,1785430628,,goal_checkpoint_committed,awaiting_tool_result,codex,TOKEN-2F2J4JMNHIU7GLKZS6OWB2GU6U TOKEN-6CMWHTN5YRZSWTQ5W5CLCELXBE segment=285 bytes=23792
10024,1785430629,,model_fallback_required,rejected,model_fallback_required,"provider=claude,kiro,antigravity TOKEN-MLJDOOPEWYMO3M4RVXUVC3MKWE fallback_model=opus requested_context_window=0 fallback_context_window=200000 manual_switch_required=true"
10025,1785430629,,model_capability_rejected,rejected,model_fallback_required,"provider=claude,kiro,antigravity TOKEN-MLJDOOPEWYMO3M4RVXUVC3MKWE"
10026,1785430629,,goal_alias_bound,awaiting_tool_result,codex,TOKEN-LAF56DZY3DMUR3CTOFL5RHXKRM aliases=2
10027,1785430629,,goal_checkpoint_committed,awaiting_tool_result,codex,TOKEN-LAF56DZY3DMUR3CTOFL5RHXKRM TOKEN-K6OWKOFGXQ2ZGKAQBJATFG4NQ4 segment=23 bytes=570057
10028,1785430632,,goal_resume_recovered,awaiting_tool_result,claude,TOKEN-LAF56DZY3DMUR3CTOFL5RHXKRM TOKEN-K6OWKOFGXQ2ZGKAQBJATFG4NQ4
10029,1785430632,,goal_resume_started,running,lease_acquired,TOKEN-LAF56DZY3DMUR3CTOFL5RHXKRM TOKEN-NUBZSLY7SRJJ2UAV2FX5OCDULQ TOKEN-K6OWKOFGXQ2ZGKAQBJATFG4NQ4
10030,1785430632,,model_fallback_required,rejected,model_fallback_required,"provider=claude,kiro,antigravity TOKEN-MLJDOOPEWYMO3M4RVXUVC3MKWE fallback_model=opus requested_context_window=0 fallback_context_window=200000 manual_switch_required=true"
10031,1785430632,,model_capability_rejected,rejected,model_fallback_required,"provider=claude,kiro,antigravity TOKEN-MLJDOOPEWYMO3M4RVXUVC3MKWE"
10032,1785430633,,codex_session_binding_created,active,terminal_success,metadata_only_no_raw_identifiers
10033,1785430633,,goal_alias_bound,awaiting_tool_result,codex,TOKEN-YGFXXZZSMRKSK2CKBCAALB2OIM aliases=2
10034,1785430633,,goal_checkpoint_committed,awaiting_tool_result,codex,TOKEN-YGFXXZZSMRKSK2CKBCAALB2OIM TOKEN-CRUJC7MKUPSKP4JDMRN6UANBDI segment=28 bytes=214081
10035,1785430633,,goal_alias_bound,awaiting_tool_result,codex,TOKEN-GDGIC6DT762DFIE53HAGRX7PRE aliases=3
10036,1785430633,,goal_checkpoint_committed,awaiting_tool_result,codex,TOKEN-GDGIC6DT762DFIE53HAGRX7PRE TOKEN-HKXSXCLZXUTIF3VAYNCLQOVVVY segment=107 bytes=159899
10037,1785430634,,goal_alias_bound,awaiting_tool_result,codex,TOKEN-IRFJWCLFOBQGENEQC2QQYQKG74 aliases=3
10038,1785430634,,goal_checkpoint_committed,awaiting_tool_result,codex,TOKEN-IRFJWCLFOBQGENEQC2QQYQKG74 TOKEN-57T3PHVGGN4GO2BHMZ5CAKLQ7Y segment=89 bytes=1112
10039,1785430634,,model_fallback_required,rejected,model_fallback_required,"provider=claude,kiro,antigravity TOKEN-MLJDOOPEWYMO3M4RVXUVC3MKWE fallback_model=opus requested_context_window=0 fallback_context_window=200000 manual_switch_required=true"
10040,1785430634,,model_capability_rejected,rejected,model_fallback_required,"provider=claude,kiro,antigravity TOKEN-MLJDOOPEWYMO3M4RVXUVC3MKWE"
10041,1785430635,,goal_resume_recovered,awaiting_tool_result,claude,TOKEN-YGFXXZZSMRKSK2CKBCAALB2OIM TOKEN-CRUJC7MKUPSKP4JDMRN6UANBDI
