request_id,tier,target,selection_type,status_class,fallback_target,created_at
REQ-OBFWLKIZEYBBTT7QBCGJZRX5DA,0,account_pool_group:claude,across,upstream_5xx,,1785444355
REQ-6PCPGU2R4VKJ455XLT2M4CSCFM,0,account_pool_group:claude,across,upstream_5xx,,1785444358
REQ-KOYUPD4GSSHGHPTY6FJTLX75TA,0,account_pool_group:claude,across,upstream_5xx,,1785444390
REQ-ZZ56EG7NDOGC6MXBX4EKCQQHT4,0,account_pool_group:claude,across,upstream_5xx,,1785444398
REQ-YLSF4SLCW4EYOUYFFDQYRAQQ2E,0,account_pool_group:claude,across,upstream_5xx,,1785444429
REQ-LETZFGIQ32DTH4IPET4RMAGXN4,0,account_pool_group:claude,across,upstream_5xx,,1785444436
REQ-74HOSDEJ7TOJOUKPA4NKH3ZP54,0,account_pool_group:claude,across,upstream_5xx,,1785444462
REQ-ELRHEVXX5BWYG3YKYK4FARNXFE,0,account_pool_group:gpt-pro,bound,success,,1785444471
REQ-HP6E5PZJFSIVRL6D6RLJCIGRZA,0,account_pool_group:claude,across,upstream_5xx,,1785444475
REQ-C6CORY2GCWI6ZN3LA7N5H3HQUY,0,account_pool_group:gpt-plus-备用2(可破甲),across,upstream_5xx,,1785444537
REQ-4D74JE5PBHKSSRQCEQRW5BNUZY,0,account_pool_group:gpt-plus-备用2(可破甲),across,upstream_5xx,,1785444537
REQ-JEJVAXU2E77WJZN5NFSFRM6GQY,0,account_pool_group:gpt-plus-备用2(可破甲),across,upstream_5xx,,1785444537
REQ-THCUECUF4PC25HE5HXCKN3DETE,0,account_pool_group:gpt-plus-备用2(可破甲),across,upstream_5xx,,1785444537
REQ-MFLCERUMKAM645WPQOIEX246M4,0,account_pool_group:gpt-plus-备用2(可破甲),across,upstream_5xx,,1785444539
REQ-ZZQEOWMHZDLITVWBQLIPLOLMMA,0,account_pool_group:gpt-plus-备用2(可破甲),across,upstream_5xx,,1785444539
REQ-SBYAY2SZLURZK3CSUT6F6N7DWI,0,account_pool_group:gpt-plus-备用2(可破甲),across,upstream_5xx,,1785444541
REQ-L6NF3TB35IXU6S6HOLKVHX2MDM,0,account_pool_group:gpt-plus-备用2(可破甲),across,upstream_5xx,,1785444542
REQ-5PCVQ4NXFZWZUKK7ISTLNKYIYE,0,account_pool_group:gpt-plus-备用2(可破甲),across,upstream_5xx,,1785444546
REQ-EGDOJUK4GXYR377PTWWOIYFCBM,0,account_pool_group:gpt-plus-备用2(可破甲),across,upstream_5xx,,1785444546
