key,value,updated_at
_encryption_sentinel_v2,enc:v2:c5bd5c04562dc9e6:TOKEN-M7CNXYS6XQ5SQFKDNHPLALTGOI,1785406765
ban_auto_delete,true,1785441018
codex_http_stateless_v1_migrated,observed,1785406765
codex_install_effort,max,1785445671
codex_native_cache_default_v2_migrated,1,1785406765
context_journal_ttl_1h_migrated,1,1785406765
context_payload_compression_ctx2,1,1785406766
goal_continuity_v2_storage_accounted,1,1785406765
usage_accuracy_cutover_at,1785406765,1785406765
usage_cache_diagnostics_v3_backfilled,1,1785406766
usage_daily_reset_day,2026-07-30,1785406868
