id,created_at,updated_at,account_code,route_key_hash,estimated_tokens,status,usage_expected,usage_recorded_at
TOKEN-RT3RLMT2BYBHOVIU5MX22UT2RM,1785444630,1785448727,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-WROULGKQR45P47RV26L4CZSBNQ,856,expired_unsettled,0,0
TOKEN-JQGFWSDXT7JR4HQRGD6PVFSOLI,1785447441,1785447613,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-KSAYUHVAH4URTMW74W62H43QTI,3194,settled_streaming,1,1785447613
TOKEN-KYOU2RJSHGU3MUGVNZ64VYOE4I,1785447446,1785447537,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-HDOASPXPEPMXKL6LQ5W7OO4UWE,459,settled_streaming,1,1785447537
TOKEN-EWTCRHSYFAH66THLAQDPZOOV4M,1785447502,1785447540,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-QBQI6CVOEYNLINSS7SIWKR3XJY,33239,settled_streaming,1,1785447540
TOKEN-OALE4PFT4YA725S27TU6ARZFIY,1785447502,1785447568,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-7WG6CHUA6HJLLA4XNG4QBVZWTI,372000,settled_streaming,1,1785447568
TOKEN-XNVOJMBNANOT2DS5I5SOF7XPFU,1785447506,1785447527,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-WG3MCB6N4PEBK5W7652CVEZK6A,89864,settled_streaming,1,1785447527
TOKEN-ZXS77ZPB7GEYKD3PNRHPP4RZYQ,1785447506,1785447560,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-FMSHWLUQAHBTGYIDG6NFWXJVTU,81195,settled_streaming,1,1785447560
TOKEN-Y5LML2VZEQ7ZXV6XZ7BFBPH7NU,1785447517,1785447527,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-QBWKIE2XA3FJKHU2JHSHU5UT6U,215762,settled_streaming,1,1785447527
TOKEN-25RBCPSHW6AQ2IY4TISPHWPVYY,1785447528,1785447545,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-WG3MCB6N4PEBK5W7652CVEZK6A,93595,settled_streaming,1,1785447545
TOKEN-YFLZF2V3JYCPQRVKCVQGN4BF64,1785447528,1785447533,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-QBWKIE2XA3FJKHU2JHSHU5UT6U,216386,settled_streaming,1,1785447533
TOKEN-GJ6LW3PSLEIA746Z6WERRKZQAI,1785447530,1785447533,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-5Q77D3APSLIWWDLVR6GK433KEM,80205,settled_streaming,1,1785447533
TOKEN-XQDLQFCGGCVWIZY6ZEIAKEOJCM,1785447535,1785447545,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-5Q77D3APSLIWWDLVR6GK433KEM,80344,settled_streaming,1,1785447545
TOKEN-7F4HVYE7WG3QNZC6PGZRRD56UM,1785447535,1785447546,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-QBWKIE2XA3FJKHU2JHSHU5UT6U,217265,settled_streaming,1,1785447546
TOKEN-FN7UFDFOTA2MR4D7B5UCXREXSQ,1785447537,1785447549,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-FXHPXXPFCDYERS3FMHIENNHGUE,418,settled_streaming,1,1785447549
TOKEN-UPKM7MBME6HO2BMSNE474LTOR4,1785447546,1785447621,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-QBQI6CVOEYNLINSS7SIWKR3XJY,35330,settled_streaming,1,1785447621
TOKEN-W35YEI63VXDHLAO4KU4LT6THNQ,1785447547,1785447561,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-WG3MCB6N4PEBK5W7652CVEZK6A,96025,settled_streaming,1,1785447561
TOKEN-MEFEUZELXIGG4LXGHIAR4DFS6A,1785447547,1785447554,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-QBWKIE2XA3FJKHU2JHSHU5UT6U,221913,settled_streaming,1,1785447554
TOKEN-MGT6HMGSKPSFHXLWCOCNZQ5G7I,1785447549,1785447557,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-4PLHSQXST4SXXP24LVNONHBBHM,420,settled_streaming,1,1785447557
TOKEN-ZWAZLIB75NPNLZUAWEJMHG7EHY,1785447552,1785447594,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-5Q77D3APSLIWWDLVR6GK433KEM,80859,settled_streaming,1,1785447594
TOKEN-KEJ6KUYGCC5WC7AMKC6GXSMNRQ,1785447555,1785447564,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-QBWKIE2XA3FJKHU2JHSHU5UT6U,222931,settled_streaming,1,1785447564
TOKEN-K7R2LKDEECCSQE3FYI3YDN2EE4,1785447558,1785447586,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-DXD5GG42LNE2DWKN3U2VYRTO74,711,settled_streaming,1,1785447586
TOKEN-EFGN2OE2SYHBSMOOWRIONELMGU,1785447563,1785447571,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-WG3MCB6N4PEBK5W7652CVEZK6A,97801,settled_streaming,1,1785447571
TOKEN-735FM7ONR2GGTN7IKIA6AZHEBQ,1785447567,1785447749,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-FMSHWLUQAHBTGYIDG6NFWXJVTU,85103,settled_streaming,1,1785447749
TOKEN-676RRYQ5CFD22KK25R2RS6EEBM,1785447567,1785447599,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-QBWKIE2XA3FJKHU2JHSHU5UT6U,223820,settled_streaming,1,1785447599
TOKEN-XVPHVQMWF35E3DTSFNXXC5HGAQ,1785447572,1785447577,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-WG3MCB6N4PEBK5W7652CVEZK6A,98348,settled_streaming,1,1785447577
TOKEN-UYZATXDUPECVTHRI67MFP4FHI4,1785447575,1785447617,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-7WG6CHUA6HJLLA4XNG4QBVZWTI,372000,settled_streaming,1,1785447617
TOKEN-P62JQJQVPCEYU3U63KBOB6DT6Q,1785447578,1785447586,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-WG3MCB6N4PEBK5W7652CVEZK6A,100015,settled_streaming,1,1785447586
TOKEN-DBM5PVUHWBPS5ILEHYOBSWHR54,1785447586,1785447593,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-YYJEGEBAWH4VCQYGRDGE6UNNDU,440,settled_streaming,1,1785447593
TOKEN-K7ED2THD6BJ5U7WSGAIQMPPT24,1785447591,1785447634,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-WG3MCB6N4PEBK5W7652CVEZK6A,103920,settled_streaming,1,1785447634
TOKEN-MT44PTFOBZPLK53SVJWLYYU2MU,1785447593,1785447608,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-6RFOB3RYV4LQJ43AWLOA33Y5E4,408,settled_streaming,1,1785447608
TOKEN-WAD74VF3UL73WUMBG4KWTPVYIU,1785447596,1785447613,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-5Q77D3APSLIWWDLVR6GK433KEM,85270,settled_streaming,1,1785447613
TOKEN-27YWALL73K3ZNDNAJAE3ZQ74TI,1785447601,1785447606,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-QBWKIE2XA3FJKHU2JHSHU5UT6U,226069,settled_streaming,1,1785447606
TOKEN-75LLOUTK7P3SMAGALDYF6S7LFA,1785447608,1785447628,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-ADFK4OESKFYP4NJX23JGWLOPLQ,1358,settled_streaming,1,1785447628
TOKEN-LHGTQLZGFGECIIAHYLI3UKXWAI,1785447609,1785447620,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-QBWKIE2XA3FJKHU2JHSHU5UT6U,226708,settled_streaming,1,1785447620
TOKEN-6T63HBXOWWBBBE26IIBT7I62RY,1785447613,1785447737,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-YLXFD2K7MPJLKV2F35COWWSQWU,406,settled_streaming,1,1785447737
TOKEN-2PKES5OIC2QGVDIXQMQO74H2BQ,1785447622,1785447661,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-QBWKIE2XA3FJKHU2JHSHU5UT6U,227583,settled_streaming,1,1785447661
TOKEN-B3AYGUDNTXEWJLUXLN3ZJAYTPU,1785447623,1785447659,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-7WG6CHUA6HJLLA4XNG4QBVZWTI,372000,settled_streaming,1,1785447659
TOKEN-P77NHLAAMXDNDIOMYAVBDSE5QU,1785447627,1785447642,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-QBQI6CVOEYNLINSS7SIWKR3XJY,40705,settled_streaming,1,1785447642
TOKEN-6ZUT3PG63X7H3LI4CM3LUVNUJM,1785447629,1785447634,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-QUB7BWAVXTOUG6ZZPNHJDXIRXU,419,settled_streaming,1,1785447634
TOKEN-OL4ERIBILYDYYUZJJGD75KYAHY,1785447632,1785447632,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-UVEN47EWTROZDJ2KCXOKDB3QRA,379,websocket_fallback_context_recovering,0,0
TOKEN-E3VTTORQTOASYFIJT4JBYL4FO4,1785447633,1785447641,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-TZ4TT4UK3NCOI2PEEE3FDMIGPQ,372000,settled_streaming,1,1785447641
TOKEN-Y5DY5Q5CH4SMCIZMH7JOFR7PGQ,1785447634,1785447652,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-SRKO3U6G3JUODSNFILGHJ7UHYU,419,settled_streaming,1,1785447652
TOKEN-L5FKX3ZKJK2NLSTVYS3LQ7INX4,1785447639,1785447647,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-WG3MCB6N4PEBK5W7652CVEZK6A,107639,settled_streaming,1,1785447647
TOKEN-6LC2XX2KV6N7ZD7DIUFZDDY4AU,1785447652,1785447665,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-UARDUESRXOXUSN4NLD3TSB4PK4,419,settled_streaming,1,1785447665
TOKEN-F7WPXKAGBHC5Q3UNA3OJFWI2JY,1785447652,1785447717,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-WG3MCB6N4PEBK5W7652CVEZK6A,110569,settled_streaming,1,1785447717
TOKEN-EM6GSDZ4N3FCS4Q2WWRQFHJRRY,1785447654,1785447657,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-QBQI6CVOEYNLINSS7SIWKR3XJY,41777,settled_streaming,1,1785447657
TOKEN-MN4MI66XQOB5FXNY2B6JYCGUOE,1785447661,1785447671,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-QBWKIE2XA3FJKHU2JHSHU5UT6U,229350,settled_streaming,1,1785447671
TOKEN-AOTRQLTRVDYGWUWNTP5YV3TS5E,1785447665,1785447704,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-7WG6CHUA6HJLLA4XNG4QBVZWTI,372000,settled_streaming,1,1785447704
TOKEN-UJ4KMYVDIXV4RSPQA2CBTHQ3KM,1785447666,1785447677,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-CK7SKT3PACR67VHFLZOTWR7E3Q,419,settled_streaming,1,1785447677
TOKEN-HVUPX67FNDMD7PZFMC3R24M5FY,1785447672,1785447683,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-QBWKIE2XA3FJKHU2JHSHU5UT6U,229937,settled_streaming,1,1785447683
TOKEN-QKPXLCQA4HR3IRNGMIIKM2VRQU,1785447677,1785447682,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-23ZRGDEGF5EUDT5FALAON3RFWI,419,settled_streaming,1,1785447682
TOKEN-FG7UBZTOCTCS4JCF5J5ZRW6PNY,1785447682,1785447696,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-NS76GV5IIH4OMNLZY3WUNUJQ3E,609,settled_streaming,1,1785447696
TOKEN-5JGXPEE5YUMXC73FZETCUIMLUQ,1785447685,1785447694,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-QBWKIE2XA3FJKHU2JHSHU5UT6U,230466,settled_streaming,1,1785447694
