id,created_at,account_code,route_key_hash,api_key_hash,user_id,model,prompt_tokens,completion_tokens,total_tokens,cached_tokens,cache_read_tokens,cache_creation_tokens,usage_provider,usage_source,cache_read_present,cache_creation_present,compatibility_losses_json,cache_capability,estimated,cache_miss_tokens,cache_total_input_tokens,cache_creation_5m_tokens,cache_creation_1h_tokens,affinity_source,route_class,prompt_cache_key_present,prompt_cache_key_source,stable_prefix_source,stable_prefix_reason,stable_prefix_bytes,retention_effective,retention_source,claude_cache_ttl,cache_control_injected,cache_breakpoint_count,cache_breakpoints_json,unwritten_tail_tokens,max_possible_cache_read_tokens,cache_hit_after_prewarm,singleflight_waited_requests,diagnostics_miss_reason,latest_user_cache_control,latest_user_auto_context_cache_control,latest_user_tail_cache_control,latest_user_tool_result_cache_control,route_epoch,raw_usage_json,kiro_credits,kiro_credits_present,billing_hold_id,requested_model,resolved_model,model_override_source
8347,1785447527,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-WG3MCB6N4PEBK5W7652CVEZK6A,TOKEN-HQLHSJVM4QS2MSU2DWZBHUZ5Z4,,gpt-5.6-sol,66196,303,66499,64256,64256,0,codex,upstream,0,0,,,0,1940,66196,0,0,codex-root-thread-id,true_conversation,1,downstream,body_meta_hmac,bounded_large_body,65536,,unsupported_current_codex,,0,0,,0,0,0,0,,0,0,0,0,0,"{""input_tokens"":66196,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":64256},""output_tokens"":303,""output_tokens_details"":{""reasoning_tokens"":98},""total_tokens"":66499}",0.000000,0,TOKEN-XNVOJMBNANOT2DS5I5SOF7XPFU,gpt-5.6-sol,gpt-5.6-sol,none
8348,1785447527,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-QBWKIE2XA3FJKHU2JHSHU5UT6U,TOKEN-HQLHSJVM4QS2MSU2DWZBHUZ5Z4,,gpt-5.6-sol,181047,134,181181,179968,179968,0,codex,upstream,0,0,,,0,1079,181047,0,0,codex-root-thread-id,true_conversation,1,downstream,body_meta_hmac,bounded_large_body,65536,,unsupported_current_codex,,0,0,,0,0,0,0,,0,0,0,0,0,"{""input_tokens"":181047,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":179968},""output_tokens"":134,""output_tokens_details"":{""reasoning_tokens"":8},""total_tokens"":181181}",0.000000,0,TOKEN-Y5LML2VZEQ7ZXV6XZ7BFBPH7NU,gpt-5.6-sol,gpt-5.6-sol,none
8349,1785447533,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-QBWKIE2XA3FJKHU2JHSHU5UT6U,TOKEN-HQLHSJVM4QS2MSU2DWZBHUZ5Z4,,gpt-5.6-sol,181335,134,181469,179968,179968,0,codex,upstream,0,0,,,0,1367,181335,0,0,codex-root-thread-id,true_conversation,1,downstream,body_meta_hmac,bounded_large_body,65536,,unsupported_current_codex,,0,0,,0,0,0,0,,0,0,0,0,0,"{""input_tokens"":181335,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":179968},""output_tokens"":134,""output_tokens_details"":{""reasoning_tokens"":55},""total_tokens"":181469}",0.000000,0,TOKEN-YFLZF2V3JYCPQRVKCVQGN4BF64,gpt-5.6-sol,gpt-5.6-sol,none
8350,1785447533,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-5Q77D3APSLIWWDLVR6GK433KEM,TOKEN-HQLHSJVM4QS2MSU2DWZBHUZ5Z4,,gpt-5.6-sol,44445,31,44476,43776,43776,0,codex,upstream,0,0,,,0,669,44445,0,0,codex-root-thread-id,true_conversation,1,downstream,body_meta_hmac,bounded_large_body,65536,,unsupported_current_codex,,0,0,,0,0,0,0,,0,0,0,0,0,"{""input_tokens"":44445,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":43776},""output_tokens"":31,""output_tokens_details"":{""reasoning_tokens"":0},""total_tokens"":44476}",0.000000,0,TOKEN-GJ6LW3PSLEIA746Z6WERRKZQAI,gpt-5.6-sol,gpt-5.6-sol,none
8351,1785447537,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-HDOASPXPEPMXKL6LQ5W7OO4UWE,TOKEN-HQLHSJVM4QS2MSU2DWZBHUZ5Z4,,gpt-5.6-sol,232858,4909,237767,226048,226048,0,codex,upstream,0,0,,,0,6810,232858,0,0,previous_response_id,true_conversation,1,downstream,,final_turn_not_user,0,,unsupported_current_codex,,0,0,,0,0,0,0,,0,0,0,0,0,"{""input_tokens"":232858,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":226048},""output_tokens"":4909,""output_tokens_details"":{""reasoning_tokens"":496},""total_tokens"":237767}",0.000000,0,TOKEN-KYOU2RJSHGU3MUGVNZ64VYOE4I,gpt-5.6-sol,gpt-5.6-sol,none
8352,1785447540,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-QBQI6CVOEYNLINSS7SIWKR3XJY,TOKEN-HQLHSJVM4QS2MSU2DWZBHUZ5Z4,,gpt-5.6-sol,21329,932,22261,20224,20224,0,codex,upstream,0,0,,,0,1105,21329,0,0,codex-root-thread-id,true_conversation,1,downstream,,final_turn_not_user,0,,unsupported_current_codex,,0,0,,0,0,0,0,,0,0,0,0,0,"{""input_tokens"":21329,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":20224},""output_tokens"":932,""output_tokens_details"":{""reasoning_tokens"":786},""total_tokens"":22261}",0.000000,0,TOKEN-EWTCRHSYFAH66THLAQDPZOOV4M,gpt-5.6-sol,gpt-5.6-sol,none
8353,1785447545,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-WG3MCB6N4PEBK5W7652CVEZK6A,TOKEN-HQLHSJVM4QS2MSU2DWZBHUZ5Z4,,gpt-5.6-sol,69913,761,70674,65280,65280,0,codex,upstream,0,0,,,0,4633,69913,0,0,codex-root-thread-id,true_conversation,1,downstream,body_meta_hmac,bounded_large_body,65536,,unsupported_current_codex,,0,0,,0,0,0,0,,0,0,0,0,0,"{""input_tokens"":69913,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":65280},""output_tokens"":761,""output_tokens_details"":{""reasoning_tokens"":642},""total_tokens"":70674}",0.000000,0,TOKEN-25RBCPSHW6AQ2IY4TISPHWPVYY,gpt-5.6-sol,gpt-5.6-sol,none
8354,1785447545,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-5Q77D3APSLIWWDLVR6GK433KEM,TOKEN-HQLHSJVM4QS2MSU2DWZBHUZ5Z4,,gpt-5.6-sol,44501,72,44573,43776,43776,0,codex,upstream,0,0,,,0,725,44501,0,0,codex-root-thread-id,true_conversation,1,downstream,body_meta_hmac,bounded_large_body,65536,,unsupported_current_codex,,0,0,,0,0,0,0,,0,0,0,0,0,"{""input_tokens"":44501,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":43776},""output_tokens"":72,""output_tokens_details"":{""reasoning_tokens"":18},""total_tokens"":44573}",0.000000,0,TOKEN-XQDLQFCGGCVWIZY6ZEIAKEOJCM,gpt-5.6-sol,gpt-5.6-sol,none
8355,1785447546,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-QBWKIE2XA3FJKHU2JHSHU5UT6U,TOKEN-HQLHSJVM4QS2MSU2DWZBHUZ5Z4,,gpt-5.6-sol,181934,388,182322,180992,180992,0,codex,upstream,0,0,,,0,942,181934,0,0,codex-root-thread-id,true_conversation,1,downstream,body_meta_hmac,bounded_large_body,65536,,unsupported_current_codex,,0,0,,0,0,0,0,,0,0,0,0,0,"{""input_tokens"":181934,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":180992},""output_tokens"":388,""output_tokens_details"":{""reasoning_tokens"":250},""total_tokens"":182322}",0.000000,0,TOKEN-7F4HVYE7WG3QNZC6PGZRRD56UM,gpt-5.6-sol,gpt-5.6-sol,none
8356,1785447549,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,TOKEN-FXHPXXPFCDYERS3FMHIENNHGUE,TOKEN-HQLHSJVM4QS2MSU2DWZBHUZ5Z4,,gpt-5.6-sol,237819,496,238315,227072,227072,0,codex,upstream,0,0,,,0,10747,237819,0,0,previous_response_id,true_conversation,1,downstream,,final_turn_not_user,0,,unsupported_current_codex,,0,0,,0,0,0,0,,0,0,0,0,0,"{""input_tokens"":237819,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":227072},""output_tokens"":496,""output_tokens_details"":{""reasoning_tokens"":15},""total_tokens"":238315}",0.000000,0,TOKEN-FN7UFDFOTA2MR4D7B5UCXREXSQ,gpt-5.6-sol,gpt-5.6-sol,none
