account_code,model_slug,availability_state,context_1m_state,context_1m_source,native_context_window,native_max_context_window,source,last_probe_at
ACC-2K2OJBSXIQE2SYJVU5WZABT4NI,gpt-5.5,verified,unknown,,0,0,codex_runtime_inference,1785427942
ACC-2K2OJBSXIQE2SYJVU5WZABT4NI,gpt-5.6-sol,verified,unknown,,0,0,codex_runtime_inference,1785433297
ACC-UTFYZURQ5KTWCWOESJ66KGJ2ZQ,gpt-5.5,verified,unknown,,0,0,codex_runtime_inference,1785407834
ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,gpt-5.6-sol,verified,unknown,,0,0,codex_runtime_inference,1785440994
ACC-AHBCFSVVRS6LD7SODZNCOJQAZU,gpt-5.6-sol,verified,unknown,,0,0,codex_runtime_inference,1785433377
ACC-NK6ZSGVDHFYJ7XPOALJSGRBZ7I,claude-fable-5,verified,supported,model_default,1000000,1000000,claude_probe,1785407470
ACC-NK6ZSGVDHFYJ7XPOALJSGRBZ7I,claude-haiku-4-5-20251001,verified,unknown,plan:unknown,200000,200000,claude_probe,1785407470
ACC-NK6ZSGVDHFYJ7XPOALJSGRBZ7I,claude-opus-4-5-20251101,verified,unknown,plan:unknown,200000,200000,claude_probe,1785407470
ACC-NK6ZSGVDHFYJ7XPOALJSGRBZ7I,claude-opus-4-6,verified,unknown,plan:unknown,200000,1000000,claude_probe+claude_runtime_inference,1785430841
ACC-NK6ZSGVDHFYJ7XPOALJSGRBZ7I,claude-opus-4-7,verified,unknown,plan:unknown,200000,1000000,claude_probe,1785407470
ACC-NK6ZSGVDHFYJ7XPOALJSGRBZ7I,claude-opus-4-8,verified,unknown,plan:unknown,200000,1000000,claude_probe,1785407470
ACC-NK6ZSGVDHFYJ7XPOALJSGRBZ7I,claude-opus-5,verified,supported,runtime_inference,1000000,1000000,claude_probe+claude_runtime_inference,1785431739
ACC-NK6ZSGVDHFYJ7XPOALJSGRBZ7I,claude-sonnet-4-5-20250929,verified,unknown,plan:unknown,200000,1000000,claude_probe,1785407470
ACC-NK6ZSGVDHFYJ7XPOALJSGRBZ7I,claude-sonnet-4-6,verified,unknown,plan:unknown,200000,1000000,claude_probe,1785407470
ACC-NK6ZSGVDHFYJ7XPOALJSGRBZ7I,claude-sonnet-5,verified,supported,model_default,1000000,1000000,claude_probe,1785407470
ACC-JX6NDCRVSN4MFKTOPLQXZMNOUI,gpt-5.5,verified,unknown,,0,0,codex_runtime_inference,1785428586
ACC-JX6NDCRVSN4MFKTOPLQXZMNOUI,gpt-5.6-sol,verified,unknown,,0,0,codex_runtime_inference,1785438858
ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,gpt-5.5,verified,unknown,,0,0,codex_runtime_inference,1785414666
ACC-YIAYS4VQ3AYXJWWOVIAVKNTLIM,claude-opus-4-6-thinking,verified,unsupported,antigravity_catalog_max_tokens,250000,250000,antigravity_model_probe,1785428812
ACC-YIAYS4VQ3AYXJWWOVIAVKNTLIM,claude-sonnet-4-6,verified,unsupported,antigravity_catalog_max_tokens,250000,250000,antigravity_model_probe,1785428812
