route_key_hash,route_key,source,account_code,provider,model,egress_id,epoch,created_at,updated_at
TOKEN-4VUVLQRMEFMMDTQGJ7LXVPIQOA,claude_item_id:msg_011CdY64PUpDFAC6WGvF8fgE,claude_item_id,ACC-NK6ZSGVDHFYJ7XPOALJSGRBZ7I,claude,claude-opus-5,egress_jp_01,0,1785407478,1785407478
TOKEN-ERP3DP2EFOGMZNMHSJMLJWJPTY,codex-root-thread-id:019fb299-b6fc-7720-beeb-079334a15cc8,codex-root-thread-id,ACC-HH3MS4CH2YTRUI2AD4F5XY6VTU,codex,gpt-5.6-sol,egress_jp_01,0,1785407846,1785407846
TOKEN-MWPGERB2NEBSNL2KJQGWLJMRAM,codex-root-thread-id:019fa7c3-4298-72e1-ac49-023f3f026810,codex-root-thread-id,ACC-AHBCFSVVRS6LD7SODZNCOJQAZU,codex,gpt-5.6-sol,egress_jp_01,0,1785407895,1785407895
TOKEN-CQB3TQU5X3Y3AKP4IYNPMOJAV4,codex-root-thread-id:019fb29a-a7c1-77a2-9f97-2fda8232b35b,codex-root-thread-id,ACC-F7V2KG5F535O755MND4UDOTTBM,codex,gpt-5.6-sol,egress_jp_01,0,1785407908,1785407908
TOKEN-CFLKOPXGOBIVE43KFFN3V4B4NM,codex-root-thread-id:019fb29c-97d4-7a20-ba33-09bf60d16ea9,codex-root-thread-id,ACC-2K2OJBSXIQE2SYJVU5WZABT4NI,codex,gpt-5.6-sol,egress_jp_01,0,1785408035,1785408035
TOKEN-HYRL4JRSMCLU3DRPXRCLMROMYI,previous_response_id:TOKEN-GTBDHONEDKECZ6XNITR3SPDUUA,previous_response_id,ACC-2K2OJBSXIQE2SYJVU5WZABT4NI,codex,gpt-5.6-sol,egress_us_1,0,1785411014,1785411014
TOKEN-4WE3JNLB7HSWKEZ65AVVK5SU5Q,previous_response_id:TOKEN-XCMWATFZ75SU2GRVXT7ISVRNNQ,previous_response_id,ACC-2K2OJBSXIQE2SYJVU5WZABT4NI,codex,gpt-5.6-sol,egress_us_1,0,1785411093,1785411093
TOKEN-CTQ5OZM6ZTLCXHZ5FT2TQNX6ZA,previous_response_id:TOKEN-HHYSGLDKEUEMWGAMLIEMFPVREA,previous_response_id,ACC-2K2OJBSXIQE2SYJVU5WZABT4NI,codex,gpt-5.6-sol,egress_us_1,0,1785411163,1785411163
TOKEN-UM5FLZJVKHYPXDDCD7SYF4PXDY,previous_response_id:TOKEN-43C6K6ZLQ3UMDGKWZZSRENV2GE,previous_response_id,ACC-2K2OJBSXIQE2SYJVU5WZABT4NI,codex,gpt-5.6-sol,egress_us_1,0,1785411228,1785411228
TOKEN-L3QX6AP5XNARRMTJMHSF3DJ5JA,previous_response_id:TOKEN-ZUETF7XFX2TR33A6GQYI5EK63Q,previous_response_id,ACC-2K2OJBSXIQE2SYJVU5WZABT4NI,codex,gpt-5.6-sol,egress_us_1,0,1785411296,1785411296
TOKEN-ZCPHUSCV5VJZYR7D7YL6JRBWE4,previous_response_id:TOKEN-ICG6NEROVYU5S3XOXEAQI5BCTA,previous_response_id,ACC-2K2OJBSXIQE2SYJVU5WZABT4NI,codex,gpt-5.6-sol,egress_us_1,0,1785411384,1785411384
TOKEN-VHRFLC6XYGDHQYDDMKJ33KZPCM,previous_response_id:TOKEN-UKT56IJDJJ2W7SXWZT27JTIC5Y,previous_response_id,ACC-2K2OJBSXIQE2SYJVU5WZABT4NI,codex,gpt-5.6-sol,egress_us_1,0,1785411438,1785411438
TOKEN-EUN3XKAY7RVNTYCKLZ36CRRAPI,previous_response_id:TOKEN-A726AF23DBXAHN3TL7GOEXUSGE,previous_response_id,ACC-2K2OJBSXIQE2SYJVU5WZABT4NI,codex,gpt-5.6-sol,egress_us_1,0,1785411525,1785411525
TOKEN-KMQGHTTEIHUQLJ3M5ZADDK4WME,previous_response_id:TOKEN-N357E4TDRA7YBOWI55G66GPMHA,previous_response_id,ACC-2K2OJBSXIQE2SYJVU5WZABT4NI,codex,gpt-5.6-sol,egress_us_1,0,1785411642,1785411642
TOKEN-EAUK3C274MJ2XRKT2GXT5F5OVM,previous_response_id:TOKEN-GZKBR2NR2NCF5LYNLRSSANO2BY,previous_response_id,ACC-2K2OJBSXIQE2SYJVU5WZABT4NI,codex,gpt-5.6-sol,egress_us_1,0,1785411736,1785411736
TOKEN-4V24H3AALJRJDYLPCJZME6GTAQ,previous_response_id:TOKEN-5QZEY7XWDOBKERTA7O2RKSOZPM,previous_response_id,ACC-2K2OJBSXIQE2SYJVU5WZABT4NI,codex,gpt-5.6-sol,egress_us_1,0,1785411747,1785411747
TOKEN-JRHICM4ZARBPE6ZROGDRM62KJA,previous_response_id:TOKEN-LSQFT2HWX5G2A5VCGVX535EKF4,previous_response_id,ACC-2K2OJBSXIQE2SYJVU5WZABT4NI,codex,gpt-5.6-sol,egress_us_1,0,1785411855,1785411855
TOKEN-33TTYDV4JHY47KTXVEKMT4NBJ4,previous_response_id:TOKEN-AT2HSBRYEDUSYMHNXCBTBQ6EXI,previous_response_id,ACC-2K2OJBSXIQE2SYJVU5WZABT4NI,codex,gpt-5.6-sol,egress_us_1,0,1785411943,1785411943
TOKEN-F3PMV47KCF4REHAINID5BAXDHU,previous_response_id:TOKEN-2P7QUNPQ6FAN636IOL3QRPWUPM,previous_response_id,ACC-2K2OJBSXIQE2SYJVU5WZABT4NI,codex,gpt-5.6-sol,egress_us_1,0,1785412005,1785412005
TOKEN-5XDII36FHLEDWIEG2HRBCDEDJI,previous_response_id:TOKEN-BFHOSATLJFKMAG6PE76AFOXV6U,previous_response_id,ACC-2K2OJBSXIQE2SYJVU5WZABT4NI,codex,gpt-5.6-sol,egress_us_1,0,1785412080,1785412080
TOKEN-M7JR62JPQRBLVXXT7KK6VXQA7A,previous_response_id:TOKEN-NM3E4XK4WU4ZVACOD5KMBRWWUU,previous_response_id,ACC-2K2OJBSXIQE2SYJVU5WZABT4NI,codex,gpt-5.6-sol,egress_us_1,0,1785412126,1785412126
TOKEN-GDON4LE7C7J4KFYTN72G5SUK54,codex-root-thread-id:019faf56-3fe8-7b82-840d-c14ff68b0f80,codex-root-thread-id,ACC-2K2OJBSXIQE2SYJVU5WZABT4NI,codex,gpt-5.6-sol,egress_us_1,2,1785407871,1785412173
TOKEN-QM5L5LDBOQUZPZBVJUNZKFBQVI,previous_response_id:TOKEN-3IR244KNP4YXRSTD6VTDEP5OLU,previous_response_id,ACC-2K2OJBSXIQE2SYJVU5WZABT4NI,codex,gpt-5.6-sol,egress_us_1,0,1785412173,1785412173
TOKEN-XAJCWX4Z6R3RWMCQ6WACPRTKY4,previous_response_id:TOKEN-75QWYTUZNAKDQCHW7UCVJIGSGQ,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785412982,1785412982
TOKEN-5EZJYHC6CMAIQT6SU6PVT72MTI,previous_response_id:TOKEN-RNHZAXUNEYTWWIC3N7HVSZKCMY,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785413058,1785413058
TOKEN-NZVDYUXWVOCZD3YO6WC7GCDHFU,previous_response_id:TOKEN-P4UROPY5MLTPPRCIJTK3TLRWBM,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785413096,1785413096
TOKEN-L2GIYCWTVNNGA4BV4VN32QZLWU,previous_response_id:TOKEN-TWALZ6H6HGMXHU4HBCZUGL4ZRU,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785413141,1785413141
TOKEN-FFXB66JOLMJYZPXBA34HOAYX4A,previous_response_id:TOKEN-NJHVEKFYKDCU4HB6J6TDMUBZMQ,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785413209,1785413209
TOKEN-D3T6C2LCBZVWMGXV4CAEJRQNRY,previous_response_id:TOKEN-5B6QSSASJEAD3NU767SBYENPBQ,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785413247,1785413247
TOKEN-Z4KGK5572KQH5EUONE757H2V3U,previous_response_id:TOKEN-JAMZHWR7ACIB2ALKAZNLTYSQHI,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785413284,1785413284
TOKEN-WNNN3LOL7K4J4G2PCONLZXFQQE,previous_response_id:TOKEN-QJLMORY6ACT4OG6QMKLKWLULQU,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785413291,1785413291
TOKEN-LHVJQUDNZTOQCAONZNJ4RX4JHI,previous_response_id:TOKEN-FVRFE7NDW5AL4XQ2B65ETAFKOE,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785413302,1785413302
TOKEN-VFK53KIDTVFHUI5CVRHOMI3CHU,previous_response_id:TOKEN-MNFGM524DNPEEI7H3S7FJF3IGE,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785413322,1785413322
