request_id,tier,target,selection_type,status_class,fallback_target,created_at
REQ-DE4JXWFB5FWXGT3OVL4IOZE54Q,0,account_pool_group:claude,bound,success,,1785431624
REQ-XALWS7CIZTDQ3RJKOXBG6ONTRA,0,account_pool_group:claude,bound,permanent_4xx,,1785431624
REQ-4K65GC6ZVNZWPTCHZUCNSRN52Q,0,account_pool_group:claude,bound,success,,1785431627
REQ-YTUFZ2QPZOKA3M3GKALFS2ID7Y,0,account_pool_group:gpt-pro,bound,success,,1785431630
REQ-V6OKDFWRUDNLEEKJH5GHVXSUKA,0,account_pool_group:gpt-plus-备用2(可破甲),bound,success,,1785431631
REQ-4UQWRXGYXTAXPC2PL3VVTXA5L4,0,account_pool_group:gpt-pro,bound,success,,1785431635
REQ-R6XLRBNSUN62USBT6NO4TJTEKU,0,account_pool_group:claude,bound,success,,1785431635
REQ-BPEY3H2O4MMUUN4HL4MJEPRFMI,0,account_pool_group:claude,bound,success,,1785431636
REQ-EGGOGZXZFIYDAEYAQPLLFDPCSA,0,account_pool_group:gpt-pro,bound,success,,1785431636
REQ-AFIUXMV5S5A2BK4XTYVK33JYWY,0,account_pool_group:claude,bound,success,,1785431640
REQ-JJ5XJGLASAXOYLT3RFJY67KKIA,0,account_pool_group:gpt-pro,bound,success,,1785431642
REQ-75INQYUNRMDM5MK4KS4ZC3OLIQ,0,account_pool_group:claude,bound,success,,1785431645
REQ-3IRVODT77RCL72FVPKTMPDX2QE,0,account_pool_group:claude,bound,success,,1785431647
REQ-I7HQAQ65ZQOWRPYVHJHBJVX66E,0,account_pool_group:claude,bound,success,,1785431648
REQ-C2FKI6LFOWAARH4EWXFJ7A475M,0,account_pool_group:gpt-pro,bound,success,,1785431651
REQ-MYTW3IKS7DB5K7X35MQFGE4ZUA,0,account_pool_group:gpt-plus-正常(备用1),bound,success,,1785431652
REQ-FDKK2PBSMO44VO4HNIBVC2EUXU,0,account_pool_group:claude,bound,success,,1785431656
REQ-CVZVK3WFFDTXTLABINKCB6CNKY,0,account_pool_group:gpt-pro,bound,success,,1785431658
REQ-5SAHG3KKDRYT5MIBC3GXG65GXM,0,account_pool_group:gpt-plus-正常(备用1),bound,success,,1785431658
REQ-FMJWUSQZM4EYZETZZ7HML4MSQY,0,account_pool_group:gpt-pro,bound,success,,1785431662
REQ-R7TLKGMVT3NOYDZKKYIY5CG4MY,0,account_pool_group:claude,bound,success,,1785431666
REQ-OYF6NB55364ELO23X25OPQFVTA,0,account_pool_group:gpt-plus-正常(备用1),bound,success,,1785431666
REQ-MCFLWIBWUOMDWP5WSFFUJRNENA,0,account_pool_group:claude,bound,success,,1785431668
REQ-ARZQJKM5BVOUXLXEUYFNHUMWQ4,0,account_pool_group:gpt-pro,bound,success,,1785431670
REQ-PB3RXVGNX4U3RPODFTY7GJHHUE,0,account_pool_group:claude,bound,success,,1785431677
REQ-TCDXGZLTN63EBRACEGIVZ5YLHA,0,account_pool_group:gpt-pro,bound,success,,1785431680
REQ-XWKR3J5RL6SJLCJKLBFWK35SCA,0,account_pool_group:claude,bound,success,,1785431682
REQ-56SNV52NDRHTUOIMCDC4MPBSRE,0,account_pool_group:claude,bound,success,,1785431685
REQ-TYNNOWI5TE5TRIWG4TM7QIWYIA,0,account_pool_group:gpt-plus-正常(备用1),bound,success,,1785431688
REQ-2FXMF5WRJSOSR25RTVKCXHYLIE,0,account_pool_group:gpt-pro,bound,success,,1785431693
REQ-3RIQ22M7W4A3YJUU6537XFS7CM,0,account_pool_group:gpt-pro,bound,success,,1785431696
REQ-7WLTO45XOM45LL6PN7EYAEJCDY,0,account_pool_group:gpt-plus-正常(备用1),bound,success,,1785431701
REQ-NRT6N5PAPCN7L2HNRKN3IT7RNI,0,account_pool_group:gpt-plus-正常(备用1),bound,success,,1785431708
REQ-FDMPBG46SK2OECH6E3THB6QI3M,0,account_pool_group:gpt-pro,bound,success,,1785431708
REQ-3VL5IXMYGGJYAPUYC54VCDWASY,0,account_pool_group:claude,bound,success,,1785431709
REQ-4IIQKFQ3MGK2SEW6NCTNVHHUGM,0,account_pool_group:gpt-pro,bound,success,,1785431726
REQ-NQDPFXH5UGPJUUDCCZMFAYALMQ,0,account_pool_group:gpt-plus-正常(备用1),bound,success,,1785431726
REQ-D6PFPTCSQO6IVMIIXI7E4Q677U,0,account_pool_group:claude,bound,success,,1785431728
REQ-OI676JT3PWJHWJC3FU45W6T3FU,0,account_pool_group:gpt-pro,bound,success,,1785431729
REQ-UHU42VWAVNVCWDUHNXBZV2B6BY,0,account_pool_group:claude,bound,success,,1785431732
REQ-PRHZ6XXNLFKYCGN2ESZWTGIT5I,0,account_pool_group:claude,bound,success,,1785431733
REQ-YFMOF4IA2H3Q36MYLO2LFAOAOY,0,account_pool_group:gpt-plus-正常(备用1),bound,success,,1785431735
REQ-ZTJDFHBFJTMPIEO7Z2FARSOOBE,0,account_pool_group:gpt-pro,bound,success,,1785431738
REQ-6EIHW6ZKR6FB3JCTNXIH2OUPGM,0,account_pool_group:gpt-pro,bound,success,,1785431742
REQ-CQYS4JMKRW3U5ODVPX72OTW4TQ,0,account_pool_group:gpt-pro,bound,success,,1785431749
REQ-EBFFJP22JVA3YXRV4WDK5GT4UE,0,account_pool_group:gpt-plus-正常(备用1),bound,success,,1785431756
REQ-QDXNCZUUFMZFAFIDI3TXVUELII,0,account_pool_group:gpt-pro,bound,success,,1785431758
REQ-C7OAUT26SX27BSO4FPRN75U2ZM,0,account_pool_group:claude,bound,success,,1785431759
REQ-ZTPSWX6YP5FTGD2433BXQYMO4Q,0,account_pool_group:claude,bound,upstream_429,account_pool_group:antigravity,1785431762
REQ-ZTPSWX6YP5FTGD2433BXQYMO4Q,0,account_pool_group:antigravity,across,upstream_5xx,,1785431762
REQ-TJJOAO2S2OICASXECVPOVZHKMI,0,account_pool_group:gpt-plus-备用2(可破甲),bound,success,,1785431764
REQ-DHQDGNRIDOSM4OFAVBZZJ5B6P4,0,account_pool_group:claude,bound,upstream_429,account_pool_group:antigravity,1785431764
REQ-DHQDGNRIDOSM4OFAVBZZJ5B6P4,0,account_pool_group:antigravity,across,upstream_5xx,,1785431764
