account_code,provider,model,limiter_type,source,used_percent,limit_tokens,remaining_tokens,limit_requests,remaining_requests,reset_at,status,raw_json,updated_at
ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,codex,,5h_polled,codex_stream,3,'-1,'-1,'-1,'-1,1785919912,,,1785432698
ACC-AHBCFSVVRS6LD7SODZNCOJQAZU,codex,,5h_polled,codex_stream,92,'-1,'-1,'-1,'-1,1785903042,,,1785432694
ACC-OWBQQZUPFT7GVHF6NPYMAYFFCU,codex,,5h_polled,codex_stream,42,'-1,'-1,'-1,'-1,1785922298,,,1785432689
ACC-F7V2KG5F535O755MND4UDOTTBM,codex,,5h_polled,5h_polled,100,'-1,'-1,0,0,1785903071,rejected,,1785432598
ACC-F7V2KG5F535O755MND4UDOTTBM,codex,,codex_reset_credits,usage_fallback,'-1,'-1,'-1,'-1,0,0,ok,"{""available_count"":0,""body_snippet"":""{\n  \""user_id\"": \""user-eZwUO33fOFLyB98fd32hROAC\"",\n  \""account_id\"": \""user-eZwUO33fOFLyB98fd32hROAC\"",\n  \""email\"": \""EMAIL-C5FHODQZRAAF72FE6D4AQ6SBXE\"",\n  \""plan_type\"": \""plus\"",\n  \""rate_limit\"": {\n    \""allowed\"": false,\n    \""limit_reached\"": true,\n    \""primary_window\"": {\n      \""used_percent\"": 100,\n      \""limit_window_seconds\"": 604800,\n      \""reset_after_seconds\"": 470473,\n      \""reset_at\"": 1785903070\n    },\n    \""secondary_window\"": null\n  },\n  \""code_review_rate_limit\"": null,\n  \""additional_rate_limits\"": null,\n  \""credits\"": {\n    \""has_credits\"": false,\n    \""unlimited\"": false,\n    \""overage_limit_reached\"": false,\n    \""balance\"": \""0\"",\n    \""approx_local_messages\"": [\n      0,\n      0\n    ],\n    \""approx_cloud_messages\"": [\n      0,\n      0\n    ]\n  },\n  \""spend_control\"": {\n    \""reached\"": false,\n    \""individual_limit\"": null\n  },\n  \""rate_limit_reached_type\"": {\n    \""type\"": \""rate_limit_reached\"",\n    \""details\"": \""default\""\n  },\n  \""rate_limit_upsell\"": {\n    \""banner_type\"": \""plus_rate_limit_reached\"",\n    \""title\"": \""You're out of Cod"",""known"":true,""source"":""usage_fallback"",""status"":""ok""}",1785432598
ACC-UTFYZURQ5KTWCWOESJ66KGJ2ZQ,codex,,5h_polled,5h_polled,100,'-1,'-1,0,0,1785903049,rejected,,1785432597
ACC-UTFYZURQ5KTWCWOESJ66KGJ2ZQ,codex,,codex_reset_credits,usage_fallback,'-1,'-1,'-1,'-1,0,0,ok,"{""available_count"":0,""body_snippet"":""{\n  \""user_id\"": \""user-LMrRhjh9KOKK86xiXRuMhJHo\"",\n  \""account_id\"": \""user-LMrRhjh9KOKK86xiXRuMhJHo\"",\n  \""email\"": \""EMAIL-RR2NFIOWLDNPR4AGXKYORK6JKY\"",\n  \""plan_type\"": \""plus\"",\n  \""rate_limit\"": {\n    \""allowed\"": false,\n    \""limit_reached\"": true,\n    \""primary_window\"": {\n      \""used_percent\"": 100,\n      \""limit_window_seconds\"": 604800,\n      \""reset_after_seconds\"": 470452,\n      \""reset_at\"": 1785903048\n    },\n    \""secondary_window\"": null\n  },\n  \""code_review_rate_limit\"": null,\n  \""additional_rate_limits\"": null,\n  \""credits\"": {\n    \""has_credits\"": false,\n    \""unlimited\"": false,\n    \""overage_limit_reached\"": false,\n    \""balance\"": \""0\"",\n    \""approx_local_messages\"": [\n      0,\n      0\n    ],\n    \""approx_cloud_messages\"": [\n      0,\n      0\n    ]\n  },\n  \""spend_control\"": {\n    \""reached\"": false,\n    \""individual_limit\"": null\n  },\n  \""rate_limit_reached_type\"": {\n    \""type\"": \""rate_limit_reached\"",\n    \""details\"": \""default\""\n  },\n  \""rate_limit_upsell\"": {\n    \""banner_type\"": \""plus_rate_limit_reached\"",\n    \""title\"": \""You're ou"",""known"":true,""source"":""usage_fallback"",""status"":""ok""}",1785432597
ACC-JX6NDCRVSN4MFKTOPLQXZMNOUI,codex,,5h_polled,5h_polled,39,'-1,'-1,0,0,1785902989,allowed_warning,,1785432597
ACC-JX6NDCRVSN4MFKTOPLQXZMNOUI,codex,,codex_reset_credits,usage_fallback,'-1,'-1,'-1,'-1,0,0,ok,"{""available_count"":0,""body_snippet"":""{\n  \""user_id\"": \""user-vhsvjEWRyfTmDCYJc3r7aR2O\"",\n  \""account_id\"": \""user-vhsvjEWRyfTmDCYJc3r7aR2O\"",\n  \""email\"": \""EMAIL-P47USEQOGMVYZQJHA6BP5ZRR3U\"",\n  \""plan_type\"": \""plus\"",\n  \""rate_limit\"": {\n    \""allowed\"": true,\n    \""limit_reached\"": false,\n    \""primary_window\"": {\n      \""used_percent\"": 39,\n      \""limit_window_seconds\"": 604800,\n      \""reset_after_seconds\"": 470392,\n      \""reset_at\"": 1785902988\n    },\n    \""secondary_window\"": null\n  },\n  \""code_review_rate_limit\"": null,\n  \""additional_rate_limits\"": null,\n  \""credits\"": {\n    \""has_credits\"": false,\n    \""unlimited\"": false,\n    \""overage_limit_reached\"": false,\n    \""balance\"": \""0\"",\n    \""approx_local_messages\"": [\n      0,\n      0\n    ],\n    \""approx_cloud_messages\"": [\n      0,\n      0\n    ]\n  },\n  \""spend_control\"": {\n    \""reached\"": false,\n    \""individual_limit\"": null\n  },\n  \""rate_limit_reached_type\"": null,\n  \""promo\"": null,\n  \""rate_limit_reset_credits\"": {\n    \""available_count\"": 0,\n    \""applicable_available_count\"": 0\n  }\n}"",""known"":true,""source"":""usage_fallback"",""status"":""ok""}",1785432597
ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,,5h_polled,5h_polled,100,'-1,'-1,0,0,1785920020,rejected,,1785432597
