id,created_at,account_code,action,state,reason,detail
1,1785406806,ACC-2K2OJBSXIQE2SYJVU5WZABT4NI,account_backup_import,active,complete account restore,source=account-pool-export.zip
2,1785406806,ACC-OWBQQZUPFT7GVHF6NPYMAYFFCU,account_backup_import,active,complete account restore,source=account-pool-export.zip
3,1785406806,ACC-JX6NDCRVSN4MFKTOPLQXZMNOUI,account_backup_import,active,complete account restore,source=account-pool-export.zip
4,1785406806,ACC-UTFYZURQ5KTWCWOESJ66KGJ2ZQ,account_backup_import,active,complete account restore,source=account-pool-export.zip
5,1785406806,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,account_backup_import,active,complete account restore,source=account-pool-export.zip
6,1785406806,ACC-F7V2KG5F535O755MND4UDOTTBM,account_backup_import,active,complete account restore,source=account-pool-export.zip
7,1785406806,ACC-AHBCFSVVRS6LD7SODZNCOJQAZU,account_backup_import,active,complete account restore,source=account-pool-export.zip
8,1785406806,ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,account_backup_import,active,complete account restore,source=account-pool-export.zip
9,1785406806,ACC-V5HUEWZFSBH45DWE5GJJ5SM4LA,account_backup_import,active,complete account restore,source=account-pool-export.zip
10,1785406806,ACC-HH3MS4CH2YTRUI2AD4F5XY6VTU,account_backup_import,active,complete account restore,source=account-pool-export.zip
11,1785406806,ACC-YIAYS4VQ3AYXJWWOVIAVKNTLIM,account_backup_import,active,complete account restore,source=account-pool-export.zip
12,1785406806,ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,account_backup_import,active,complete account restore,source=account-pool-export.zip
13,1785406806,ACC-5NWBTTKJQQ72VW3C7MG2763FJY,account_backup_import,active,complete account restore,source=account-pool-export.zip
14,1785406806,ACC-W4OI5PEQYC5PVYYAMYY6A6ABNI,account_backup_import,active,complete account restore,source=account-pool-export.zip
15,1785406813,ACC-5NWBTTKJQQ72VW3C7MG2763FJY,auth_expired,auth_expired,invalid_grant,source=auth_error http=400 class=invalid_grant
16,1785406813,ACC-5NWBTTKJQQ72VW3C7MG2763FJY,health_test,auth_expired,authentication_error,"http=401 alive=false probe_scope=model_request model_checked=true model=claude-sonnet-4-5 body={""type"":""error"",""error"":{""type"":""authentication_error"",""message"":""OAuth access token has been revoked.""},""request_id"":null}"
17,1785406824,ACC-5NWBTTKJQQ72VW3C7MG2763FJY,auth_expired,auth_expired,invalid_grant,source=admin_refresh http=400 class=invalid_grant
18,1785406825,ACC-5NWBTTKJQQ72VW3C7MG2763FJY,health_test,unreachable,anthropic token refresh failed (400): invalid_grant,provider=claude probe_scope=model_request model_checked=true model=claude-sonnet-4-5
