id,created_at,updated_at,account_code,route_key_hash,estimated_tokens,status,usage_expected,usage_recorded_at
TOKEN-SOVLZKJV2KUVEWAIJCLQ3223XM,1785407474,1785407478,ACC-NK6ZSGVDHFYJ7XPOALJSGRBZ7I,TOKEN-6YFHKEECPEEKAILAJ2XCYDU64A,26427,settled_streaming,1,1785407478
TOKEN-QF5K4SUZHQ5VV3737VFEK6I7RQ,1785407587,1785407588,ACC-UTFYZURQ5KTWCWOESJ66KGJ2ZQ,TOKEN-NTYMDUYW6EIFR6Z2PS6CUN5VUQ,4298,settled_streaming,1,1785407588
TOKEN-ZV4H37YQATZLWAGNEJ7ZPXU7KU,1785407734,1785407748,ACC-UTFYZURQ5KTWCWOESJ66KGJ2ZQ,TOKEN-NTYMDUYW6EIFR6Z2PS6CUN5VUQ,9170,settled_streaming,1,1785407748
TOKEN-IRUWCA3OJQAXPZCZHDV7IHOPKA,1785407749,1785407755,ACC-UTFYZURQ5KTWCWOESJ66KGJ2ZQ,TOKEN-N774VVQU6VT4B22GD5VANIDGL4,14580,settled_streaming,1,1785407755
TOKEN-VCJGG4WEE73NVOL4JMBH2N3ZEY,1785407755,1785407763,ACC-UTFYZURQ5KTWCWOESJ66KGJ2ZQ,TOKEN-VK3QACGUB6K2TXFPYCUOVAXR3Y,4390,settled_streaming,1,1785407763
TOKEN-JPDEXZY33ZOBNKYS4MQYDLTQ4A,1785407763,1785407766,ACC-UTFYZURQ5KTWCWOESJ66KGJ2ZQ,TOKEN-MCXT2MIZ2KMVJVGBJYSCBH7QMQ,12253,settled_streaming,1,1785407766
TOKEN-RZCTUNSFKMA23IWVV2TXPZVPJE,1785407766,1785407781,ACC-UTFYZURQ5KTWCWOESJ66KGJ2ZQ,TOKEN-WTCEU4EJ2JXHYYIZYE6KZRBBTI,4602,settled_streaming,1,1785407781
TOKEN-JWHQPOBH7V6CDAPQCID4ELF6PA,1785407781,1785407793,ACC-UTFYZURQ5KTWCWOESJ66KGJ2ZQ,TOKEN-G6QDFEBW3F32YLD3PGQFZR3DEI,8720,settled_streaming,1,1785407793
TOKEN-E75LVKN3QZEAPY7MZJTLRDBACA,1785407793,1785407809,ACC-UTFYZURQ5KTWCWOESJ66KGJ2ZQ,TOKEN-BSLV4WO2EXYBPEVDD4VPTPIN64,4454,settled_streaming,1,1785407809
TOKEN-XTBUXQT5CLO7FNBB2TQKXMS5DM,1785407809,1785407813,ACC-UTFYZURQ5KTWCWOESJ66KGJ2ZQ,TOKEN-JEI3YT2RIHJ4V6FMC5KA5KLXBE,4425,settled_streaming,1,1785407813
