id,created_at,account_code,route_key_hash,api_key_hash,user_id,model,prompt_tokens,completion_tokens,total_tokens,cached_tokens,cache_read_tokens,cache_creation_tokens,usage_provider,usage_source,cache_read_present,cache_creation_present,compatibility_losses_json,cache_capability,estimated,cache_miss_tokens,cache_total_input_tokens,cache_creation_5m_tokens,cache_creation_1h_tokens,affinity_source,route_class,prompt_cache_key_present,prompt_cache_key_source,stable_prefix_source,stable_prefix_reason,stable_prefix_bytes,retention_effective,retention_source,claude_cache_ttl,cache_control_injected,cache_breakpoint_count,cache_breakpoints_json,unwritten_tail_tokens,max_possible_cache_read_tokens,cache_hit_after_prewarm,singleflight_waited_requests,diagnostics_miss_reason,latest_user_cache_control,latest_user_auto_context_cache_control,latest_user_tail_cache_control,latest_user_tool_result_cache_control,route_epoch,raw_usage_json,kiro_credits,kiro_credits_present,billing_hold_id,requested_model,resolved_model,model_override_source
1,1785407478,ACC-NK6ZSGVDHFYJ7XPOALJSGRBZ7I,TOKEN-6YFHKEECPEEKAILAJ2XCYDU64A,TOKEN-HQLHSJVM4QS2MSU2DWZBHUZ5Z4,,claude-opus-5,2,28,38008,37978,37978,0,claude,upstream,1,0,,,0,2,37980,0,0,x-claude-code-session-id,true_conversation,0,,,,0,,,1h,1,4,"[{""section"":""system"",""message_index"":-1,""block_index"":1,""type"":""text"",""token_estimate"":16,""hash"":""09b203a8da7818ce"",""ttl"":""1h""},{""section"":""system"",""message_index"":-1,""block_index"":2,""type"":""text"",""token_estimate"":2575,""hash"":""2adec512696b0cab"",""ttl"":""1h""},{""section"":""messages"",""type"":""text"",""token_estimate"":76,""hash"":""cf1993c30313d36f"",""ttl"":""1h""},{""section"":""messages"",""message_index"":1,""type"":""text"",""token_estimate"":1766,""hash"":""f9e6718985fbd4f4"",""ttl"":""1h""}]",0,26267,1,0,,0,1,0,0,0,"{""cache_read_input_tokens"":37978,""input_tokens"":2,""output_tokens"":28}",0.000000,0,TOKEN-SOVLZKJV2KUVEWAIJCLQ3223XM,claude-opus-5,claude-opus-5,none
2,1785407588,ACC-UTFYZURQ5KTWCWOESJ66KGJ2ZQ,TOKEN-NTYMDUYW6EIFR6Z2PS6CUN5VUQ,TOKEN-MLCIC6UY7U3QRD3XRMXQW57CSI,,gpt-5.5,5798,0,5798,0,0,0,codex,upstream,0,0,,,0,5798,5798,0,0,codex-root-thread-id,true_conversation,1,downstream,,empty_sequence,0,,unsupported_current_codex,,0,0,,0,0,0,0,,0,0,0,0,0,"{""input_tokens"":5798,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":0},""output_tokens"":0,""output_tokens_details"":{""reasoning_tokens"":0},""total_tokens"":5798}",0.000000,0,TOKEN-QF5K4SUZHQ5VV3737VFEK6I7RQ,gpt-5.5,gpt-5.5,none
3,1785407748,ACC-UTFYZURQ5KTWCWOESJ66KGJ2ZQ,TOKEN-NTYMDUYW6EIFR6Z2PS6CUN5VUQ,TOKEN-MLCIC6UY7U3QRD3XRMXQW57CSI,,gpt-5.5,11051,690,11741,4480,4480,0,codex,upstream,0,0,,,0,6571,11051,0,0,codex-root-thread-id,true_conversation,1,downstream,message_prefix,ok,32202,,unsupported_current_codex,,0,0,,0,0,0,0,,0,0,0,0,0,"{""input_tokens"":11051,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":4480},""output_tokens"":690,""output_tokens_details"":{""reasoning_tokens"":460},""total_tokens"":11741}",0.000000,0,TOKEN-ZV4H37YQATZLWAGNEJ7ZPXU7KU,gpt-5.5,gpt-5.5,none
4,1785407755,ACC-UTFYZURQ5KTWCWOESJ66KGJ2ZQ,TOKEN-N774VVQU6VT4B22GD5VANIDGL4,TOKEN-MLCIC6UY7U3QRD3XRMXQW57CSI,,gpt-5.5,27852,244,28096,4480,4480,0,codex,upstream,0,0,,,0,23372,27852,0,0,previous_response_id,true_conversation,1,downstream,,final_turn_not_user,0,,unsupported_current_codex,,0,0,,0,0,0,0,,0,0,0,0,0,"{""input_tokens"":27852,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":4480},""output_tokens"":244,""output_tokens_details"":{""reasoning_tokens"":93},""total_tokens"":28096}",0.000000,0,TOKEN-IRUWCA3OJQAXPZCZHDV7IHOPKA,gpt-5.5,gpt-5.5,none
5,1785407763,ACC-UTFYZURQ5KTWCWOESJ66KGJ2ZQ,TOKEN-VK3QACGUB6K2TXFPYCUOVAXR3Y,TOKEN-MLCIC6UY7U3QRD3XRMXQW57CSI,,gpt-5.5,28109,234,28343,27008,27008,0,codex,upstream,0,0,,,0,1101,28109,0,0,previous_response_id,true_conversation,1,downstream,,final_turn_not_user,0,,unsupported_current_codex,,0,0,,0,0,0,0,,0,0,0,0,0,"{""input_tokens"":28109,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":27008},""output_tokens"":234,""output_tokens_details"":{""reasoning_tokens"":32},""total_tokens"":28343}",0.000000,0,TOKEN-VCJGG4WEE73NVOL4JMBH2N3ZEY,gpt-5.5,gpt-5.5,none
6,1785407766,ACC-UTFYZURQ5KTWCWOESJ66KGJ2ZQ,TOKEN-MCXT2MIZ2KMVJVGBJYSCBH7QMQ,TOKEN-MLCIC6UY7U3QRD3XRMXQW57CSI,,gpt-5.5,40980,45,41025,10624,10624,0,codex,upstream,0,0,,,0,30356,40980,0,0,previous_response_id,true_conversation,1,downstream,,final_turn_not_user,0,,unsupported_current_codex,,0,0,,0,0,0,0,,0,0,0,0,0,"{""input_tokens"":40980,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":10624},""output_tokens"":45,""output_tokens_details"":{""reasoning_tokens"":29},""total_tokens"":41025}",0.000000,0,TOKEN-JPDEXZY33ZOBNKYS4MQYDLTQ4A,gpt-5.5,gpt-5.5,none
7,1785407781,ACC-UTFYZURQ5KTWCWOESJ66KGJ2ZQ,TOKEN-WTCEU4EJ2JXHYYIZYE6KZRBBTI,TOKEN-MLCIC6UY7U3QRD3XRMXQW57CSI,,gpt-5.5,41479,759,42238,40320,40320,0,codex,upstream,0,0,,,0,1159,41479,0,0,previous_response_id,true_conversation,1,downstream,,final_turn_not_user,0,,unsupported_current_codex,,0,0,,0,0,0,0,,0,0,0,0,0,"{""input_tokens"":41479,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":40320},""output_tokens"":759,""output_tokens_details"":{""reasoning_tokens"":103},""total_tokens"":42238}",0.000000,0,TOKEN-RZCTUNSFKMA23IWVV2TXPZVPJE,gpt-5.5,gpt-5.5,none
8,1785407793,ACC-UTFYZURQ5KTWCWOESJ66KGJ2ZQ,TOKEN-G6QDFEBW3F32YLD3PGQFZR3DEI,TOKEN-MLCIC6UY7U3QRD3XRMXQW57CSI,,gpt-5.5,48397,588,48985,41344,41344,0,codex,upstream,0,0,,,0,7053,48397,0,0,previous_response_id,true_conversation,1,downstream,,final_turn_not_user,0,,unsupported_current_codex,,0,0,,0,0,0,0,,0,0,0,0,0,"{""input_tokens"":48397,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":41344},""output_tokens"":588,""output_tokens_details"":{""reasoning_tokens"":380},""total_tokens"":48985}",0.000000,0,TOKEN-JWHQPOBH7V6CDAPQCID4ELF6PA,gpt-5.5,gpt-5.5,none
9,1785407809,ACC-UTFYZURQ5KTWCWOESJ66KGJ2ZQ,TOKEN-BSLV4WO2EXYBPEVDD4VPTPIN64,TOKEN-MLCIC6UY7U3QRD3XRMXQW57CSI,,gpt-5.5,49085,687,49772,47488,47488,0,codex,upstream,0,0,,,0,1597,49085,0,0,previous_response_id,true_conversation,1,downstream,,final_turn_not_user,0,,unsupported_current_codex,,0,0,,0,0,0,0,,0,0,0,0,0,"{""input_tokens"":49085,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":47488},""output_tokens"":687,""output_tokens_details"":{""reasoning_tokens"":369},""total_tokens"":49772}",0.000000,0,TOKEN-E75LVKN3QZEAPY7MZJTLRDBACA,gpt-5.5,gpt-5.5,none
10,1785407813,ACC-UTFYZURQ5KTWCWOESJ66KGJ2ZQ,TOKEN-JEI3YT2RIHJ4V6FMC5KA5KLXBE,TOKEN-MLCIC6UY7U3QRD3XRMXQW57CSI,,gpt-5.5,49831,191,50022,48512,48512,0,codex,upstream,0,0,,,0,1319,49831,0,0,previous_response_id,true_conversation,1,downstream,,final_turn_not_user,0,,unsupported_current_codex,,0,0,,0,0,0,0,,0,0,0,0,0,"{""input_tokens"":49831,""input_tokens_details"":{""cache_write_tokens"":0,""cached_tokens"":48512},""output_tokens"":191,""output_tokens_details"":{""reasoning_tokens"":92},""total_tokens"":50022}",0.000000,0,TOKEN-XTBUXQT5CLO7FNBB2TQKXMS5DM,gpt-5.5,gpt-5.5,none
